full_name,position,team,opponent,projected_score,range_low,range_high,confidence_label,confidence_score,risk_tier,std_dev,floor,ceiling,vegas_implied_total,season_avg_pts,season_avg_rec,spread,rank_funnel
Courtland Sutton,WR,DEN,JAX,16.456428571428575,9.239385251223666,23.673471891633483,Medium Confidence,56.14453470946278,Volatile,7.217043320204909,1.6,24.3,24.25,13.542857142857143,4.5,-3.0,1.0
Davante Adams,WR,LAR,SEA,15.612380952380956,8.772995175704969,22.451766729056942,Medium Confidence,56.19255129927539,Volatile,6.839385776675988,6.9,26.5,23.0,15.921428571428573,4.285714285714286,-1.5,6.0
Mike Evans,WR,TB,CAR,15.509000000000002,11.332079284129678,19.685920715870324,Medium Confidence,73.06776248713442,Safe,4.176920715870324,10.1,19.2,24.25,13.3,5.0,-3.0,17.0
Michael Pittman,WR,IND,SF,15.464809523809524,8.154163215134112,22.775455832484937,Medium Confidence,52.727214018252305,Volatile,7.310646308675412,2.3,23.5,20.25,13.464285714285714,5.142857142857143,6.0,9.0
Chris Olave,WR,NO,NYJ,15.378190476190476,9.953800096709017,20.802580855671934,Medium Confidence,64.72673174467533,Safe,5.424390379481458,6.0,26.8,22.5,14.735714285714286,5.857142857142857,-4.5,29.0
Jauan Jennings,WR,SF,IND,14.959666666666667,8.960051780036126,20.95928155329721,Medium Confidence,59.894728804359225,Volatile,5.999614886630541,1.7,19.9,26.25,11.291666666666666,3.6666666666666665,-6.0,2.0
Wan'Dale Robinson,WR,NYG,MIN,14.373000000000001,6.23997142227117,22.506028577728834,Low Confidence,43.41453713400939,Volatile,8.133028577728831,3.6,30.6,20.25,13.6,5.571428571428571,3.0,27.0
Troy Franklin,WR,DEN,JAX,13.82252380952381,6.059013784278275,21.586033834769346,Low Confidence,43.83435230622338,Volatile,7.763510025245535,2.8,26.9,24.25,11.485714285714286,4.071428571428571,-3.0,1.0
Christian Watson,WR,GB,CHI,13.530666666666669,6.396243073971882,20.665090259361456,Medium Confidence,47.272194575077954,Volatile,7.1344235926947865,5.9,24.9,24.0,13.3,3.5,-1.5,22.0
Emeka Egbuka,WR,TB,CAR,13.51052380952381,5.104243451925127,21.916804167122493,Low Confidence,37.779759866357324,Volatile,8.406280357598684,3.5,31.3,24.25,13.135714285714286,4.142857142857143,-3.0,17.0
DeVonta Smith,WR,PHI,WAS,13.260666666666667,5.017464338967523,21.50386899436581,Low Confidence,37.837195256403824,Volatile,8.243202327699144,1.8,33.3,25.5,12.35,4.714285714285714,-6.5,19.0
Quentin Johnston,WR,LAC,DAL,13.232000000000001,6.283458986073248,20.180541013926753,Medium Confidence,47.486842397772435,Volatile,6.948541013926753,2.8,24.9,24.0,13.6,4.2,1.5,8.0
Michael Wilson,WR,ARI,ATL,13.076666666666668,1.7366083300917161,24.41672500324162,Low Confidence,13.280206449847427,Boom/Bust,11.340058336574952,1.5,37.2,22.5,11.9,4.714285714285714,2.5,24.0
Jakobi Meyers,WR,JAX,DEN,13.075358974358975,8.39732793994136,17.75339000877659,Medium Confidence,64.22254223695637,Safe,4.678031034417617,6.3,21.3,21.25,11.53076923076923,4.615384615384615,3.0,3.0
DK Metcalf,WR,PIT,DET,12.67452380952381,6.571200989080061,18.77784662996756,Medium Confidence,51.84574259225716,Volatile,6.10332282044375,2.6,23.6,22.25,12.785714285714286,3.9285714285714284,7.0,10.0
Ricky Pearsall,WR,SF,IND,12.653,5.844510026864569,19.461489973135432,Medium Confidence,46.19070597379727,Volatile,6.808489973135432,1.0,19.7,26.25,9.3875,3.875,-6.0,2.0
Tetairoa McMillan,WR,CAR,TB,12.622142857142858,5.66064355544983,19.583642158835886,Low Confidence,44.846929871709364,Volatile,6.961499301693029,4.5,33.0,21.25,12.864285714285714,4.214285714285714,3.0,4.0
Lil'Jordan Humphrey,WR,DEN,JAX,12.495666666666668,4.4956666666666685,20.49566666666667,Low Confidence,35.97780563928829,Volatile,8.0,5.7,13.2,24.25,9.466666666666667,3.3333333333333335,-3.0,1.0
Marvin Harrison,WR,ARI,ATL,12.339600000000003,6.212392914657882,18.466807085342122,Medium Confidence,50.34517257170314,Volatile,6.12720708534212,4.7,22.6,22.5,12.540000000000001,4.0,2.5,24.0
Khalil Shakir,WR,BUF,CLE,12.164619047619047,6.001305931167103,18.32793216407099,Medium Confidence,49.33410497833653,Volatile,6.163313116451944,0.7,20.8,26.25,10.678571428571429,4.428571428571429,-10.0,20.0
Ryan Flournoy,WR,DAL,LAC,12.144933333333334,4.624413256754705,19.66545340991196,Low Confidence,38.07689288884285,Volatile,7.520520076578629,1.7,26.5,25.5,9.239999999999998,3.3,-1.5,23.0
Terry McLaurin,WR,WAS,PHI,12.094285714285718,6.067757060155911,18.120814368415523,Medium Confidence,50.17044580804555,Volatile,6.026528654129807,4.7,22.6,19.0,12.12857142857143,3.7142857142857144,6.5,25.0
Ladd McConkey,WR,LAC,DAL,11.90057142857143,4.868834113346289,18.932308743796572,Low Confidence,40.91260779005093,Volatile,7.031737315225141,2.1,23.0,24.0,11.607142857142858,4.357142857142857,1.5,8.0
Brian Thomas,WR,JAX,DEN,11.852272727272728,6.637625524005238,17.06691993054022,Medium Confidence,56.00297661672683,Safe,5.21464720326749,4.8,23.0,21.25,10.836363636363636,3.5454545454545454,3.0,3.0
Keenan Allen,WR,LAC,DAL,11.823619047619049,4.6551594371578755,18.992078658080224,Low Confidence,39.37169675722338,Volatile,7.1684596104611735,3.9,28.9,24.0,11.428571428571429,4.857142857142857,1.5,8.0
Devontez Walker,WR,BAL,NE,11.741666666666669,3.741666666666669,19.741666666666667,Low Confidence,31.86657203690561,Volatile,8.0,4.0,16.6,25.75,8.333333333333334,1.3333333333333333,-3.0,7.0
Alec Pierce,WR,IND,SF,11.713000000000001,6.0752283039333985,17.3507716960666,Medium Confidence,51.8673977967506,Volatile,5.6377716960666024,2.6,18.4,20.25,10.791666666666666,3.25,6.0,9.0
